Average_Streams (Millions)
40.3
32.2
35.7
37.4
41.6
48.4
42
46.2
47.2
46.2
48.2
43.4
53
44
42.6
47.9
33.6
39.6
44.2
39.6
35.9
32.9
34.9
51.5
46.7
35.8
34.9
32.9
40.7
40.6
47.8
30.9
38.6
30.7
39.8
32.1
45.9
41.4
51.9
29.2
30.3
34.1
37
39.8
28
26.3
24.4
23.9
41.9
24.1
15.9
17.3
14.8
19
15.2
14.7
12.2
10
11.5
10.7
9
8.6
8.2
7.5
6.8
7.6
5.2
5.6
