topyoutube
Artist,Total Views
Julieta Venegas,902.4
Rich Gang,902.1
Tinie Tempah,900.1
RASA,900.1
Tame Impala,894.8
Why Don't We,892.3
Busta Rhymes,889.3
Capital Cities,889.2
Mahmut Orhan,888.9
Ana Carolina,885.6
KSI,885.5
AnnenMayKantereit,883.8
Kenny Chesney,883.5
Keen'V,883.3
Juicy J,882.6
Fat Joe,880.9
Steve Aoki,880.9
Seether,877.7
Fly Project,876.9
Michael Bolton,873.2
AOA,873.1
Leo Rojas,873.0
Big Ass,872.5
Jamiroquai,869.0
TLC,866.9
Jess Glynne,862.4
Kiesza,862.1
King,860.7
Jassi Gill,860.7
Hamza Namira,858.8
Delia,858.1
Tuğçe Kandemir,858.0
KC Rebell,854.8
Ja Rule,852.0
Culture Club,849.8
Jay Sean,849.5
Vasco Rossi,846.2
Marco Mengoni,845.9
Lilly Wood & The Prick,839.1
Daughtry,837.7
CKay,836.7
Mr Probz,835.2
gnash,834.7
deadmau5,834.2
Vance Joy,833.7
Altamash Faridi,831.9
Midian Lima,827.2
Tinashe,825.6
Thaeme & Thiago,824.6
Big Time Rush,824.4
NAV,823.8
The Prodigy,823.6
ChocQuibTown,821.9
Maite Perroni,821.2
Lil Xan,821.2
X Ambassadors,820.8
Sum 41,820.7
365 DaBand,819.0
Tony Dize,818.6
BNK48,817.6
PnB Rock,817.0
O.T. Genasis,816.7
KYLE,815.0
Far East Movement,814.9
J Soul Brothers,813.1
Hebe Tien,811.7
The Cure,811.6
EXID,809.5
Oras Sattar,807.9
Faydee,806.3
Burak Yeter,805.3
Sekai no Owari,802.9
Kodaline,800.7
T-ara,799.1
La Quinta Estación,797.9
Mario,797.1
Loredana Zefi,795.7
Sophia Grace,794.8
Il Volo,794.5
Polina Gagarina,794.0
T_T,792.7
Deorro,790.0
Redfoo,789.7
Eric Clapton,789.3
SanLuis,787.5
Atitude 67,786.3
Rusherking,786.1
SCH,785.3
Måneskin,785.0
The White Stripes,784.4
Weezer,782.4
Pia Mia,782.2
Queen Naija,780.5
Niall Horan,777.3
Kalash,777.2
Douzi,775.7
Kool & The Gang,775.2
Breaking Benjamin,774.7
M83,774.0
Stormzy,772.5
JustaTee,770.9
Nicky Romero,770.1
Spitz,765.6
AAA,764.6
GTK,763.7
Takagi & Ketra,763.5
MC Hammer,763.1
Pepe Quintana,759.0
Cascada,758.7
Kungs,758.3
Osmani Garcia,758.1
Pet Shop Boys,757.5
Bullet For My Valentine,756.5
Rich Homie Quan,755.2
Central Cee,752.3
Marcela Gándara,749.7
Alessandra Amoroso,749.1
Bob Sinclar,746.9
Irama,746.0
Keri Hilson,743.5
Çağatay Akman,742.7
Sofia Carson,742.0
O Rappa,741.2
Paulina Rubio,740.3
Tiago Iorc,739.7
La Factoría,738.1
PARTYNEXTDOOR,737.6
Ozan Doğulu,736.4
Pawni Pandey,734.1
Murat Boz,727.9
John Denver,727.1
Leonard Cohen,726.7
Utada Hikaru,723.9
Heart,723.2
Thiago Brava,721.0
Within Temptation,719.9
A Great Big World,719.5
KAZKA,716.6
JayDaYoungan,716.3
Silva Gunbardhi,714.3
City Girls,712.3
Oriente,706.5
Andy & Lucas,703.8
Bloodhound Gang,700.2
Louis Tomlinson,699.4
Ece Seçkin,698.8
Prince,696.7
Duran Duran,696.4
Jovanotti,696.1
La Fouine,695.9
Jordin Sparks,695.0
Extreme,693.3
Gabriel Diniz,692.7
Pearl Jam,691.8
The Fray,691.1
Snow Patrol,690.5
Modà,690.3
Haikaiss,689.8
Nico & Vinz,688.8
Paty Cantú,687.7
Travie McCoy,686.4
OrelSan,685.5
Marina and the Diamonds,684.7
Goo Goo Dolls,683.9
MC Rodolfinho,681.3
Rise Against,680.5
LOONA,680.1
Lily Allen,679.1
Kyary Pamyu Pamyu,678.2
UB40,677.4
India Martínez,675.1
Nicole Scherzinger,674.4
Lilly Goodman,673.9
Staind,673.6
Blue,672.6
Little Big Town,672.1
t.A.T.u.,669.8
The Chipettes,668.6
Trio Parada Dura,667.3
Julia Michaels,666.9
Bảo Anh,665.7
IAmChino,665.0
Helene Fischer,664.4
Rema,664.1
DJ Antoine,662.3
The Fugees,661.4
M.I.A.,661.2
Biel,658.7
Monica,658.6
Burak King,658.3
Mustard,658.0
Dawin,657.6
Lali,657.3
Perfume,656.3
Isaias Saad,655.4
Sak Noel,654.9
Yemi Alade,654.5
K.A.R.D,654.2
Ace of Base,653.6
Maxim Fadeev,653.2
Daoko,652.6
Adam Lambert,650.7
Ace Hood,650.0
KeBlack,648.6
Cleber e Cauan,648.3
Norm Ender,648.0
Feduk,645.3
Sophana,645.0
Reyli Barba,644.3
Anna Kendrick,642.8
Cro,640.4
Madcon,640.0
Martin Solveig,639.8
Saif Nabeel,636.5
SDP,635.2
Kevvo,632.8
Felix Jaehn,632.1
Block B,630.2
Shiina Ringo,629.7
BABYMETAL,628.6
Armada,626.6
Magic System,626.5
Dierks Bentley,624.3
The Black Keys,622.4
Sarah Farias,621.5
MGMT,621.3
Fabio Rovazzi,621.2
Smash Mouth,617.4
Sakanaction,615.2
Mark Forster,614.5
Summer Cem,614.4
Iyaz,613.3
Livres,612.2
Bella Poarch,611.9
Fabri Fibra,611.5
Dean Lewis,611.0
Alanis Morissette,610.7
AWOLNATION,610.2
Tayrone,608.7
Amit Mishra,608.6
Bizzey,607.4
Masked Wolf,604.9
RIDSA,604.9
Vũ Duy Khánh,603.6
Lola Indigo,601.7
Stefflon Don,601.4
2PM,599.8
Beast,599.5
R.I.O.,599.3
Pentagon,599.2
Noah Cyrus,597.4
Gradur,597.1
Millind Gaba,596.7
Sylwia Grzeszczak,596.5
ZAZ,596.3
BlocBoy JB,595.7
Max Jenmana,595.1
Kat DeLuna,594.6
Louane,591.8
Vázquez Sounds,589.9
Alexio La Bestia,587.5
Sumit Goswami,586.9
Blondie,586.7
Loubet,584.8
BOL 4.00,583.9
ZHU,583.8
Lil Jon,583.6
Netta,583.5
The Smashing Pumpkins,583.1
Charlie Brown Jr.,580.1
Nekfeu,579.3
Rascal Flatts,575.7
miss A,574.8
Khaled,574.5
Matchbox Twenty,573.9
DeJ Loaf,572.9
Cheat Codes,571.4
E-Girls,568.2
Luther Vandross,565.0
Ligabue,564.9
Girl's Day,563.4
Enya,561.3
Zay & Zayion,559.6
Mithoon,559.1
MC Brinquedo,558.4
Emis Killa,558.0
The Calling,557.4
Bone Thugs-N-Harmony,557.2
Hoàng Thuỳ Linh,556.9
Ahmed Chawki,556.1
Kelly Rowland,554.3
D.R.A.M.,553.2
Portugal. The Man,553.0
Scooter,551.8
WALK THE MOON,551.5
Empire Of The Sun,551.2
George Strait,550.9
Ashanti,550.3
Aminé,548.3
Bow Wow,547.4
Rochak Kohli,546.4
Sara Bareilles,545.3
Y2K,545.2
f(x),544.9
The All-American Rejects,544.7
Kay One,544.6
Lary Over,543.4
K'Naan,541.5
Sevyn Streeter,537.9
Malú,537.6
Bridgit Mendler,536.7
back number,536.6
Bob Dylan,535.3
Eiffel 65,534.7
Colbie Caillat,533.3
Erol Evgin,532.3
Wanna One,531.2
GReeeeN,531.1
Heuss L'Enfoiré,531.0
Chi Dân,528.3
Pollo,527.7
Marracash,526.7
Pusho,526.6
Richard Marx,526.0
R-chord,524.5
Playboi Carti,524.0
Derya Uluğ,521.9
Sławomir,521.9
UM44K,519.6
Coez,519.0
Ailee,518.8
Kemilly Santos,517.0
Sinéad O'Connor,516.3
Queens of the Stone Age,515.5
Beastie Boys,515.5
Jacob Forever,515.3
Judas Priest,514.3
Playa Limbo,514.1
Johnny Cash,513.9
Jimi Hendrix,513.6
Soundgarden,512.6
Annalisa,511.6
Simon & Garfunkel,510.0
Meat Loaf,508.1
Paloma Mami,508.0
Jefferson Moraes,506.9
Aun Feeble Heart,505.5
Emma Marrone,503.2
Bonde da Stronda,502.7
Starship,499.3
K. Michelle,499.0
Munhoz & Mariano,498.6
Lilit Hovhannisyan,498.0
Cole Swindell,496.6
The xx,496.0
Zendaya,495.1
Hayley Kiyoko,495.0
Fleetwood Mac,494.9
Elisa,492.4
Zaho,492.1
OK Go,490.6
Boef,490.5
Momoiro Clover Z,489.9
Lou Bega,489.7
Amir,488.8
Ayumi Hamasaki,487.4
Young Money,487.0
Hinder,486.0
Theory of a Deadman,485.4
Rage Against The Machine,484.7
Colonel Reyel,484.4
Gülben Ergen,484.3
TVXQ,482.9
Take That,482.2
Las Ketchup,481.9
Andreas Gabalier,481.8
Gliss,481.7
Showtek,480.9
KARA,478.7
Diddy – Dirty Money,478.3
Deep Purple,476.9
Karmin,475.1
Vanilla Ice,474.2
Ton Carfi,473.7
Negramaro,472.1
Nimo,472.0
Mohombi,471.2
Retrospect,470.7
Luma Elpidio,470.0
Big Shaq,469.9
Bappi Lahiri,469.9
BTOB,468.2
Sachet Tandon,466.2
Kell Smith,463.3
Eva,462.5
Cheryl,459.3
Blackstreet,458.7
Fridaynight to Sunday,458.4
Hilary Duff,458.2
Belanova,458.0
A.R. Rahman,455.7
Hương Tràm,455.1
Sam Tsui,455.1
Akcent,451.1
Sigma,451.0
Parampara Tandon,450.9
Discopraise,450.6
MØ,449.7
Billy Currington,448.7
Grimes,448.6
Anaïs Delva,447.9
Jaden Smith,447.9
MC Guimê,446.9
Vald,446.5
Grace,446.1
Alligatoah,445.7
Chance the Rapper,445.4
Sugarland,442.3
Salmo,439.7
Konshens,439.7
Ofenbach,439.2
Whitesnake,438.0
Eve,437.8
Simple Minds,434.8
Rob Zombie,433.3
Lalo Ebratt,431.7
Paloma Faith,430.3
Güliz Ayla,428.1
Francesco Gabbani,427.9
Yinglee Srijumpol,427.3
Banda Vingadora,426.1
Chung Ha,424.7
December Avenue,424.0
Jojo Maronttinni,423.0
Aaliyah,422.4
Skylar Grey,421.7
K-Ci & JoJo,420.4
Jay Rock,419.6
Tyrese,418.8
Maejor Ali,418.3
Anastacia,417.9
Elettra Lamborghini,417.1
Onze:20,416.1
Janet Jackson,416.0
Rei,414.9
Lil' Kleine,413.2
Veysel,412.2
Toygar Işıklı,411.2
Route 94,410.2
Sheck Wes,409.6
3OH!3,409.4
P-HOT,408.5
Aastha Gill,404.9
Counting Crows,401.9
Max Pezzali,400.7
Bella Thorne,400.4
Cher,400.0
Eypio,399.1
Metro Boomin,398.6
Tokio Hotel,398.4
Vanessa Carlton,397.9
Eva Simons,396.7
Łobuzy,396.5
Mario Bautista,395.8
Village People,395.6
Example,394.5
Thegiornalisti,394.3
Massive Attack,394.0
Tom Petty,393.4
Sarah Connor,391.6
Emeli Sandé,391.6
Grebz,390.1
Lamyai Haithongkham,390.0
Infinite,388.1
The Band Perry,387.9
MC Tati Zaqui,387.8
Shivam Pathak,385.5
Lifehouse,384.7
Azealia Banks,383.3
VIXX,382.6
Normani,382.0
Lupe Fiasco,381.8
Nargiz,381.2
Natalie Imbruglia,380.2
Jazmine Sullivan,378.7
Thepparit Imsudsumran,377.4
Nek,373.9
Vitaa,373.6
Kavinsky,371.0
American Authors,369.2
Dosseh,367.9
James Morrison,367.5
Namika,367.4
La Ley,367.0
Gesu no Kiwami Otome,366.1
Kelsea Ballerini,365.9
Tom and Angela,365.1
K.Will,364.5
Giorgia,363.7
Woodkid,363.1
Beck,361.9
Bomfunk MC's,361.5
Enigma,360.2
Gnarls Barkley,358.1
Alice Cooper,358.0
Guru Josh,357.7
Matt Hunter,357.7
Alice Merton,357.1
Cassie,356.8
Seeed,356.5
Bad Meets Evil,353.9
Marc Seguí,353.6
Rebecca Black,353.6
Ruth B,353.5
London Grammar,352.9
Priyanka Chopra,351.9
RUN-DMC,350.9
Arizona Zervas,350.8
Warren G,350.7
Mika Singh,350.3
Margaret,349.8
Twister El Rey,347.7
Technotronic,347.1
Kate Bush,346.2
Gianluca Vacchi,345.6
Hurts,343.4
Amy Macdonald,340.6
Farid Bang,340.5
Claudio Capéo,339.4
Sage The Gemini,339.0
Icona Pop,336.9
Apocalyptica,335.4
Ketsumeishi,335.0
MC João,331.9
Superfly,329.9
Lena,329.0
Tacabro,326.7
Yohani,326.4
Sukima Switch,325.8
Natasha Bedingfield,323.2
Janelle Monáe,320.7
Wagakki Band,319.8
Feder,318.0
CLC,317.5
Klingande,316.4
Ryan Higa,314.0
Adel Tawil,312.8
Echosmith,312.5
Misia,311.8
Alien Ant Farm,311.5
Wyclef Jean,310.9
Cee Lo Green,310.2
Ronnie Flex,307.2
Evaluna Montaner,306.5
Paolo Nutini,306.1
Robyn,306.0
Claudia Leitte,305.4
Elle King,304.5
Salt-N-Pepa,304.3
Vanessa Hudgens,303.0
Lykke Li,302.5
Ashley Tisdale,302.5
Francesco Renga,302.1
Jidenna,301.4
MC Gui,301.3
Rednex,300.6
Belinda,299.8
Die Toten Hosen,297.7
Pacheco,295.6
Ermal Meta,294.6
Shontelle,293.7
The Veronicas,293.5
Israel Novaes,293.3
The-Dream,292.2
Olexesh,290.8
Manu Gavassi,289.6
DJ Sem,288.6
Gianluca Grignani,287.2
Flower,287.1
Bausa,286.0
Hooverphonic,285.6
Trịnh Đình Quang,285.1
Kelis,284.3
Near,283.2
O-Zone,282.7
Robert Miles,282.1
Chyno Miranda,281.9
Afroman,280.8
Aloe Blacc,280.0
Estelle,279.8
Kardinal Offishall,279.5
Brandon Beal,279.5
BoA,279.3
Cleopatra Stratan,278.9
Stereoact,277.7
Veysel Mutlu,277.4
Isyana Sarasvati,276.4
Jeff Buckley,273.4
Plain White T's,272.2
Darude,270.2
N.E.R.D,268.5
Natalie La Rose,268.4
MCs Pikeno e Menor,268.4
Midnight Oil,267.3
Charly Black,266.2
Daniel Powter,266.0
Arcade Fire,265.1
Hunter Hayes,264.7
Anastasija Ražnatović,264.6
Faithless,264.1
Doğukan Manço,264.1
After School,261.1
Paweł Domagała,259.8
Marteria,258.7
Kristína,258.3
Anahí,256.1
Phillip Phillips,254.8
NU'EST,253.4
Clementino,253.4
Ayse Hatun Önal,252.0
David Bowie,251.9
Cobra Starship,251.2
Spyair,249.3
Ella Henderson,248.1
Wheatus,246.4
Hanson,244.0
Dev,243.8
B.A.P,242.6
Francesca Michielin,241.2
Nick Cave & The Bad Seeds,240.2
Hoa Vinh,239.2
Kiiara,237.8
Mylène Farmer,237.6
Ayaka,237.2
Tay Zonday,236.3
Giusy Ferreri,234.7
Alle Farben,233.5
I LOVE MAKONNEN,233.2
Marvin Gaye,233.0
Paul McCartney,232.4
Max Gazzè,232.3
Kwabs,232.0
Cesare Cremonini,231.4
Ráfaga,230.4
Yeah Yeah Yeahs,230.3
Ghetto Phénomène,230.1
Willow Smith,230.0
MC Lon,229.3
La Joaqui,229.1
Martin Tungevaag,227.6
Glasperlenspiel,226.6
Daya,222.6
HAIM,220.4
Max Giesinger,219.7
amazarashi,219.6
Gestört aber GeiL,219.2
Alex Mica,217.4
GloRilla,216.5
Steps,215.4
Juan Karlos,213.4
Xantos,212.7
David Archuleta,212.6
Pardison Fontaine,210.2
Soul Asylum,209.5
Crayon Pop,208.6
Dulce María,207.3
Loreen,207.3
MC Bin Laden,206.4
Valesca Popozuda,206.0
Snakehips,205.9
Pietro Lombardi,204.1
Duffy,203.2
Psirico,201.1
Alex Clare,200.8
The Avener,200.5
