topyoutube
Artist,Total Views
Elissa,"4,124.0"
Kevin Roldan,"4,076.2"
Pop Smoke,"4,065.6"
Gorillaz,"4,064.4"
Harry Styles,"4,049.7"
Passenger,"4,033.4"
Morat,"4,011.3"
Dhanush,"4,002.0"
Hussain Al Jassmi,"3,984.0"
Zion & Lennox,"3,964.3"
Rae Sremmurd,"3,933.3"
Hungria Hip Hop,"3,866.4"
Halsey,"3,864.1"
NCT,"3,809.6"
Monkan Kankoon,"3,792.6"
Atif Aslam,"3,782.2"
Panic! at the Disco,"3,777.9"
Céline Dion,"3,749.3"
21 Savage,"3,741.6"
El Alfa,"3,740.9"
Kendrick Lamar,"3,728.1"
Iggy Azalea,"3,726.6"
Alejandro Fernández,"3,719.5"
TINI,"3,715.3"
J.Fla,"3,701.8"
La Adictiva Banda San José de Mesillas,"3,687.4"
System of a Down,"3,680.4"
Bryan Adams,"3,668.6"
Slipknot,"3,656.3"
Kurt Hugo Schneider,"3,635.2"
Lil Uzi Vert,"3,634.5"
Nour Al Zain,"3,625.1"
Melendi,"3,609.1"
Mon Laferte,"3,606.4"
DaBaby,"3,592.0"
Nickelback,"3,578.9"
Carlos Rivera,"3,571.3"
Nelly,"3,570.3"
Chayanne,"3,555.5"
Yandel,"3,544.3"
Christina Aguilera,"3,523.3"
Dalex,"3,521.8"
Lil Durk,"3,520.8"
Lindsey Stirling,"3,509.3"
Cali y El Dandee,"3,504.6"
Ariel Camacho y Los Plebes Del Rancho,"3,502.8"
Jonas Blue,"3,495.9"
Yuridia,"3,482.0"
Santa Fe Klan,"3,459.6"
Arctic Monkeys,"3,433.4"
Bruno e Marrone,"3,431.9"
Violetta,"3,428.5"
Young Thug,"3,425.0"
John Legend,"3,419.4"
Bebe Rexha,"3,400.2"
Banda Los Recoditos,"3,399.6"
Tiësto,"3,393.0"
Melanie Martinez,"3,386.7"
Christina Perri,"3,366.4"
MC Livinho,"3,359.5"
Ludmilla,"3,322.0"
Meek Mill,"3,301.2"
Little Big,"3,288.3"
Marco Antonio Solís,"3,277.0"
Pulcino Pio,"3,270.1"
C-Kan,"3,269.3"
Danny Ocean,"3,264.3"
Seventeen,"3,260.1"
